libcrypt-openssl-bignum-perl	0.09-2+b4
libcrypt-openssl-random-perl:amd64	0.17-1+b1
libcrypt-openssl-rsa-perl:amd64	0.35-1.1
libcrypt-random-seed-perl	0.03-3
libcryptsetup12:amd64	2:2.7.5-2
libcrypt-ssleay-perl	0.73.06-2+b4
libctf0:amd64	2.44-3
libctf-nobfd0:amd64	2.44-3
libcurl3t64-gnutls:amd64	8.14.1-2+deb13u4
libcurl4t64:amd64	8.14.1-2+deb13u4
libdatrie1:amd64	0.2.13-3+b1
libdb5.3t64:amd64	5.3.28+dfsg2-9
libdbi1t64:amd64	0.9.0-6.1+b1
libdbus-1-3:amd64	1.16.2-2
libdebconfclient0:amd64	0.280
libdevel-cycle-perl	1.12-2
libdevmapper1.02.1:amd64	2:1.02.205-2+pmx1
libdevmapper-event1.02.1:amd64	2:1.02.205-2+pmx1
libdigest-hmac-perl	1.05+dfsg-1
libdouble-conversion3:amd64	3.3.1-1
libdpkg-perl	1.22.22
libdrm2:amd64	2.4.124-2
libdrm-amdgpu1:amd64	2.4.124-2
libdrm-common	2.4.124-2
libdrm-intel1:amd64	2.4.124-2
libdw1t64:amd64	0.192-4
libedit2:amd64	3.1-20250104-1
libefiboot1t64:amd64	38-3.1+b1
libefivar1t64:amd64	38-3.1+b1
libelf1t64:amd64	0.192-4
libencode-locale-perl	1.05-3
libepoxy0:amd64	1.5.10-2
libevent-2.1-7t64:amd64	2.1.12-stable-10+b1
libevent-core-2.1-7t64:amd64	2.1.12-stable-10+b1
libexpat1:amd64	2.8.3-1~deb13u1
libext2fs2t64:amd64	1.47.2-3+b11
libfaketime:amd64	0.9.10+2024-06-05+gba9ed5b2-0.6
libfdisk1:amd64	2.41.5-0+deb13u1
libfdt1:amd64	1.7.2-2+b1
libffi8:amd64	3.4.8-2
libfido2-1:amd64	1.15.0-1+b1
libfile-chdir-perl	0.1008-1.2
libfile-listing-perl	6.16-1
libfile-readbackwards-perl	1.06-2
libfilesys-df-perl	0.92-7+b4
libflac14:amd64	1.5.0+ds-2
libfontconfig1:amd64	2.15.0-2.3
libfreeipmi17	1.6.15-1
libfreetype6:amd64	2.13.3+dfsg-1+deb13u1
libfribidi0:amd64	1.0.16-1
libfstrm0:amd64	0.6.1-1+b3
libfuse2t64:amd64	2.9.9-9
libfuse3-4:amd64	3.17.2-3
libgbm1:amd64	25.0.7-2+deb13u1
libgcc-s1:amd64	14.2.0-19
libgcrypt20:amd64	1.11.0-7+deb13u1
libgdbm6t64:amd64	1.24-2
libgdbm-compat4t64:amd64	1.24-2
libglib2.0-0t64:amd64	2.84.4-3~deb13u3
libgmp10:amd64	2:6.3.0+dfsg-3
libgnutls30t64:amd64	3.8.9-3+deb13u4
libgnutls-dane0t64:amd64	3.8.9-3+deb13u4
libgoogle-perftools4t64:amd64	2.16-1
libgpg-error0:amd64	1.51-4
libgpgme11t64:amd64	1.24.2-3
libgprofng0:amd64	2.44-3
libgraphite2-3:amd64	1.3.14-2+deb13u1
libgssapi-krb5-2:amd64	1.21.3-5+deb13u1
libgstreamer1.0-0:amd64	1.26.2-2
libgstreamer-plugins-base1.0-0:amd64	1.26.2-1+deb13u1
libharfbuzz0b:amd64	10.2.0-1+deb13u1
libhogweed6t64:amd64	3.10.1-1
libhtml-parser-perl:amd64	3.83-2~deb13u1
libhtml-tagset-perl	3.24-1
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1+deb13u1
libhttp-date-perl	6.06-1
libhttp-message-perl	7.00-2
libhttp-negotiate-perl	6.01-2
libibverbs1:amd64	56.1-1
libicu76:amd64	76.1-4
libidn2-0:amd64	2.3.8-2
libinih1:amd64	59-1
libio-html-perl	1.004-3
libio-multiplex-perl	1.16-3
libio-pty-perl	1:1.20-1+b3
libio-socket-ssl-perl	2.089-1
libio-stringy-perl	2.113-2
libip4tc2:amd64	1.8.11-2
libip6tc2:amd64	1.8.11-2
libipc-run-perl	20231003.0-2
libipset13t64:amd64	7.22-1+b1
libiscsi7:amd64	1.20.0-4
libisns0t64:amd64	0.101-1+b1
libjansson4:amd64	2.14-2+b3
libjemalloc2:amd64	5.3.0-3
libjpeg62-turbo:amd64	1:2.1.5-4
libjq1:amd64	1.7.1-6+deb13u3
libjs-bootstrap5	5.3.5+dfsg-4
libjs-extjs	7.0.0-7
libjson-c5:amd64	0.18+ds-1
libjson-glib-1.0-0:amd64	1.10.6+ds-2
libjson-glib-1.0-common	1.10.6+ds-2
libjson-perl	4.10000-1
libjson-xs-perl	4.040-1~deb13u1
libjs-qrcodejs	1.20230525-pve1
libk5crypto3:amd64	1.21.3-5+deb13u1
libkeyutils1:amd64	1.6.3-6
libklibc:amd64	2.0.14-1
libkmod2:amd64	34.2-2
libknet1t64:amd64	1.35-pve1
libkrb5-3:amd64	1.21.3-5+deb13u1
libkrb5support0:amd64	1.21.3-5+deb13u1
libksba8:amd64	1.6.7-2+b1
liblastlog2-2:amd64	2.41.5-0+deb13u1
libldap2:amd64	2.6.10+dfsg-1
libldb2:amd64	2:2.11.0+samba4.22.10+dfsg-0+deb13u2
liblinear4:amd64	2.3.0+dfsg-5+b2
liblinux-inotify2-perl	1:2.3-2+b3
libllvm19:amd64	1:19.1.7-3+b1
liblmdb0:amd64	0.9.31-1+b2
liblocale-gettext-perl	1.07-7+b1
liblockfile1:amd64	1.17-2
liblockfile-bin	1.17-2
liblsof0	4.99.4+dfsg-2
liblttng-ust1t64:amd64	2.13.9-1
liblttng-ust-common1t64:amd64	2.13.9-1
liblttng-ust-ctl5t64:amd64	2.13.9-1
liblua5.3-0:amd64	5.3.6-2+b4
liblua5.4-0:amd64	5.4.7-1+b2
liblvm2cmd2.03:amd64	2.03.31-2+pmx1
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.14-1
liblz4-1:amd64	1.10.0-4
liblzma5:amd64	5.8.1-1+deb13u1
liblzo2-2:amd64	2.10-3+b1
libmagic1t64:amd64	1:5.46-5
libmagic-mgc	1:5.46-5
libmath-random-isaac-perl	1.004-2
libmaxminddb0:amd64	1.12.2-1
libmd0:amd64	1.1.0-2+b1
libmime-base32-perl	1.303-3
libmnl0:amd64	1.0.5-3
libmount1:amd64	2.41.5-0+deb13u1
libmp3lame0:amd64	3.100-6+b3
libmpg123-0t64:amd64	1.32.10-1+deb13u1
libnbd0	1.22.2-1+b1
libncurses6:amd64	6.5+20250216-2
libncursesw6:amd64	6.5+20250216-2
libnet1:amd64	1.3+dfsg-2
libnetaddr-ip-perl	4.079+dfsg-2+b5
libnet-dbus-perl	1.2.0-2+b3
libnet-dns-perl	1.56-0+deb13u1
libnetfilter-conntrack3:amd64	1.1.0-1
libnetfilter-log1:amd64	1.0.2-4+b1
libnet-http-perl	6.23-1
libnet-ip-perl	1.26-4
libnet-ldap-perl	1:0.6800+dfsg-1
libnet-ssleay-perl:amd64	1.94-3
libnet-subnet-perl	1.03-2
libnettle8t64:amd64	3.10.1-1
libnewt0.52:amd64	0.52.25-1
libnfnetlink0:amd64	1.0.2-3
libnfsidmap1:amd64	1:2.8.3-1
libnftables1:amd64	1.1.3-1
libnftnl11:amd64	1.2.9-1
libnghttp2-14:amd64	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	1.8.0-1
libngtcp2-16:amd64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64	1.11.0-1+deb13u1
libnl-3-200:amd64	3.7.0-2
libnl-route-3-200:amd64	3.7.0-2
libnozzle1t64:amd64	1.35-pve1
libnpth0t64:amd64	1.8-3
libnsl2:amd64	1.3.0-3+b3
libnspr4:amd64	2:4.36-1
libnss3:amd64	2:3.110-1+deb13u4
libnss-systemd:amd64	257.13-1~deb13u1
libnuma1:amd64	2.0.19-1
libnvme1t64	1.13-2
libnvpair3linux:amd64	2.4.4-pve1
liboath0t64:amd64	2.6.12-1
libogg0:amd64	1.3.5-3+b2
libonig5:amd64	6.9.9-1+b1
libopenipmi0t64:amd64	2.0.37-1
libopeniscsiusr	2.1.11-1+deb13u2
libopus0:amd64	1.5.2-2
liborc-0.4-0t64:amd64	1:0.4.41-1
libp11-kit0:amd64	0.25.5-3
libpam0g:amd64	1.7.0-5
libpam-modules:amd64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:amd64	257.13-1~deb13u1
libpam-wtmpdb:amd64	0.73.0-3+deb13u1
libpango-1.0-0:amd64	1.56.3-1
libpangocairo-1.0-0:amd64	1.56.3-1
libpangoft2-1.0-0:amd64	1.56.3-1
libpcap0.8t64:amd64	1.10.5-2
libpci3:amd64	1:3.13.0-2
libpciaccess0:amd64	0.17-3+b3
libpcre2-16-0:amd64	10.46-1~deb13u1
libpcre2-8-0:amd64	10.46-1~deb13u1
libpcre2-posix3:amd64	10.46-1~deb13u1
libperl5.40:amd64	5.40.1-6
libpipeline1:amd64	1.5.8-1
libpixman-1-0:amd64	0.44.0-3
libpng16-16t64:amd64	1.6.48-1+deb13u5
libpopt0:amd64	1.19+dfsg-2
libposix-strptime-perl	0.13-2+b4
libproc2-0:amd64	2:4.0.4-9
libprotobuf-c1:amd64	1.5.1-1
libproxmox-acme-perl	1.7.2
libproxmox-acme-plugins	1.7.2
libproxmox-backup-qemu0	2.0.2
libproxmox-rs-perl	0.4.1
libpsl5t64:amd64	0.21.2-1.1+b1
libpulse0:amd64	17.0+dfsg1-2+b1
libpve-access-control	9.1.1
libpve-apiclient-perl	3.4.3
libpve-cluster-api-perl	9.1.6
libpve-cluster-perl	9.1.6
libpve-common-perl	9.2.1
libpve-guest-common-perl	6.0.5
libpve-http-server-perl	6.0.5
